Carpetshark species,Loliginidae,Portunidae,Penaeidae,Nematoda,Clupeidae,Grapsidae,Mysidae,Squillidae,Cynoglossidae,Engraulidae,Polychaete,Trichiuridae
Grey bambooshark,0,1,1,0,0,0,0,0,0,0,0,0
Grey bambooshark,0,0,1,1,1,0,0,0,0,0,0,0
Arabian carpetshark,1,0,0,0,0,0,0,0,0,0,0,0
Arabian carpetshark,1,0,0,0,0,0,0,1,1,0,0,0
Arabian carpetshark,0,1,1,1,0,0,0,0,0,0,0,0
Arabian carpetshark,1,0,0,0,0,0,0,1,0,0,0,0
Arabian carpetshark,1,0,0,0,1,0,0,0,1,0,0,0
Arabian carpetshark,0,0,0,0,0,1,0,1,0,0,0,0
Arabian carpetshark,0,1,1,0,0,0,1,0,0,0,0,0
Arabian carpetshark,1,0,1,0,0,0,0,0,0,0,0,1
Grey bambooshark,1,0,0,0,0,0,0,1,0,0,1,0
Grey bambooshark,1,0,0,0,0,0,0,0,1,0,0,0
Grey bambooshark,0,0,1,0,0,0,0,1,0,0,0,0
Grey bambooshark,0,0,1,0,1,0,0,0,1,0,1,0
Arabian carpetshark,1,0,1,0,0,0,0,0,0,0,0,0
Arabian carpetshark,1,0,0,0,0,0,0,1,1,0,0,0
Grey bambooshark,1,0,0,0,0,0,0,1,0,0,0,0
Grey bambooshark,1,0,0,0,0,0,1,1,0,0,0,0
Grey bambooshark,1,1,1,0,0,0,0,1,0,0,0,0
Arabian carpetshark,1,0,0,0,0,0,0,0,1,0,0,0
Grey bambooshark,1,0,0,0,0,0,0,0,1,0,0,0
Grey bambooshark,0,0,0,1,0,0,0,1,0,0,0,0
Grey bambooshark,0,1,1,0,0,0,0,1,0,0,0,0
Grey bambooshark,0,0,0,0,0,1,0,0,1,0,0,0
Grey bambooshark,1,0,1,0,0,0,0,0,1,0,1,0
Arabian carpetshark,0,0,0,0,0,1,0,0,1,0,0,0
Arabian carpetshark,1,0,0,0,0,0,0,1,0,0,0,0
Grey bambooshark,0,0,1,0,1,0,0,0,0,0,0,0
Grey bambooshark,1,0,0,0,0,0,0,1,0,1,0,0
Grey bambooshark,0,1,0,1,0,0,0,0,0,0,0,0
Grey bambooshark,0,1,0,0,0,0,0,0,0,0,1,0
Arabian carpetshark,0,0,0,0,0,0,0,1,0,1,0,0
Arabian carpetshark,1,1,0,0,0,0,0,0,0,0,1,0
Arabian carpetshark,0,0,0,0,0,0,0,1,1,0,0,0
Grey bambooshark,1,1,0,0,0,0,0,1,0,0,0,0
Arabian carpetshark,1,1,0,1,0,0,0,0,0,0,0,0
Grey bambooshark,0,0,0,0,0,0,0,1,1,0,0,0
Grey bambooshark,1,0,0,0,1,0,0,1,0,1,0,0
Grey bambooshark,0,1,1,0,0,0,1,0,1,0,0,0
Grey bambooshark,1,0,1,0,0,1,0,1,0,0,0,1
Arabian carpetshark,0,0,0,1,0,0,0,1,0,0,0,0
Arabian carpetshark,0,1,0,0,0,0,0,0,1,0,0,0
Grey bambooshark,0,0,0,0,0,0,0,1,1,0,0,0
Grey bambooshark,1,1,0,1,0,0,0,0,1,1,0,0
Arabian carpetshark,1,0,1,0,0,0,0,1,0,0,0,0
Arabian carpetshark,0,0,1,0,0,0,0,1,0,0,0,0
Arabian carpetshark,1,0,0,0,0,0,0,0,1,0,0,0
Arabian carpetshark,0,0,0,1,0,0,0,0,0,0,0,0
Arabian carpetshark,0,1,1,0,0,0,0,0,0,0,0,0
Grey bambooshark,0,0,0,0,0,1,0,0,1,0,0,0
Grey bambooshark,1,0,0,0,0,0,0,0,0,0,0,0
Grey bambooshark,1,0,1,0,0,0,0,0,0,0,0,0
Grey bambooshark,0,0,0,1,0,0,0,0,0,0,0,0
Grey bambooshark,0,1,1,1,0,0,0,0,0,0,0,0
Grey bambooshark,1,0,0,0,0,0,0,0,0,1,0,0
Grey bambooshark,0,0,0,1,0,0,0,1,0,0,0,0
Grey bambooshark,0,1,0,0,0,0,0,1,0,0,1,0
Arabian carpetshark,1,0,0,0,1,0,0,0,1,0,0,0
Arabian carpetshark,0,0,0,1,0,1,0,1,0,0,0,0
Arabian carpetshark,0,0,0,0,0,1,0,1,1,0,0,0
Grey bambooshark,1,0,0,0,0,0,0,0,1,0,0,0
Grey bambooshark,0,0,1,0,0,0,0,1,1,0,0,0
Grey bambooshark,0,1,0,0,0,0,0,1,0,0,0,0
Grey bambooshark,1,0,0,0,0,0,0,0,1,0,0,0
Grey bambooshark,1,1,0,0,0,0,0,0,0,0,0,0
Arabian carpetshark,0,1,1,1,0,0,0,0,0,0,0,0
Arabian carpetshark,0,1,1,0,0,0,1,0,0,0,0,0
Arabian carpetshark,1,0,1,1,0,0,0,0,0,0,0,1
Arabian carpetshark,0,1,0,0,0,0,0,0,0,0,0,0
Arabian carpetshark,1,1,0,0,0,0,0,1,0,0,0,0
Arabian carpetshark,0,0,1,0,1,0,0,1,0,0,0,0
Grey bambooshark,0,0,0,1,0,0,0,1,0,0,0,0
Grey bambooshark,0,1,0,0,0,0,0,0,1,0,1,0
Grey bambooshark,0,0,1,0,0,0,0,1,0,0,0,0
Grey bambooshark,1,1,0,1,0,0,0,0,0,0,0,0
Arabian carpetshark,0,0,1,0,0,0,0,1,0,0,0,0
Arabian carpetshark,0,0,0,0,0,1,0,1,0,0,0,0
Arabian carpetshark,1,0,0,0,0,0,0,1,1,0,0,0
Arabian carpetshark,0,1,1,0,0,0,0,0,0,0,0,0
Grey bambooshark,0,0,1,0,0,0,0,0,1,0,0,0
Arabian carpetshark,1,0,0,0,0,0,0,1,0,0,0,0
Arabian carpetshark,1,0,0,0,0,0,0,0,1,0,0,0
Grey bambooshark,0,0,1,0,0,0,0,0,0,0,0,0
Grey bambooshark,0,1,0,0,0,0,0,1,0,0,0,0
Arabian carpetshark,1,0,0,0,1,0,0,0,1,0,0,0
Arabian carpetshark,0,0,0,1,0,0,0,1,0,0,0,0
Arabian carpetshark,0,1,1,0,0,0,0,0,0,0,0,0
Arabian carpetshark,1,0,0,0,0,0,0,1,1,0,0,0
Arabian carpetshark,0,1,0,1,0,0,0,1,0,0,0,0
