Maturity,Loliginidae,Portunidae,Penaeidae,Nematoda,Clupeidae,Grapsidae,Scombridae,Mysidae,Squillidae,Cynoglossidae,Carangidae,Engraulidae,Ephippidae,Polychaete,Elopidae,Trichiuridae
Neonate,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Juvenile,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Adult,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
Juvenile,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Adult,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Adult,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
Juvenile,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Juvenile,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Juvenile,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Juvenile,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Adult,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Adult,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Adult,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Neonate,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
Neonate,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Neonate,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Neonate,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Juvenile,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Adult,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Adult,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Juvenile,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Neonate,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Neonate,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Neonate,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
Neonate,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Neonate,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Neonate,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Neonate,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
Neonate,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Adult,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Juvenile,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Juvenile,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Neonate,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Neonate,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Neonate,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
Neonate,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Neonate,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Juvenile,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Adult,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Adult,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Adult,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Adult,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Adult,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Adult,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Adult,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
Neonate,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Neonate,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Neonate,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
Neonate,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Juvenile,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Neonate,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Neonate,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Neonate,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Neonate,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Adult,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Adult,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Adult,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Juvenile,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Adult,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Adult,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Adult,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Adult,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Juvenile,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Juvenile,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Neonate,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
Neonate,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Neonate,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Neonate,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Neonate,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
Neonate,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Adult,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Adult,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Adult,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Adult,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Adult,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Neonate,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
Neonate,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Neonate,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Juvenile,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Juvenile,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Juvenile,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Neonate,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
Neonate,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Neonate,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Neonate,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Neonate,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Neonate,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
Neonate,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Neonate,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Juvenile,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Juvenile,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Juvenile,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Adult,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
